id,query,category
1,당뇨병이란 무엇인가?,정의형
2,고혈압이란 무엇인가?,정의형
3,갑상선이란 무엇인가?,정의형
4,대사증후군이란 무엇인가?,정의형
5,공황장애란 무엇인가?,정의형
6,우울증이란 무엇인가?,정의형
7,조울증이란 무엇인가?,정의형
8,ADHD란 무엇인가?,정의형
9,자폐스펙트럼이란 무엇인가?,정의형
10,치매란 무엇인가?,정의형
11,파킨슨병이란 무엇인가?,정의형
12,루푸스란 무엇인가?,정의형
13,크론병이란 무엇인가?,정의형
14,과민성대장증후군이란 무엇인가?,정의형
15,역류성식도염이란 무엇인가?,정의형
16,골다공증이란 무엇인가?,정의형
17,류마티스관절염이란 무엇인가?,정의형
18,아토피피부염이란 무엇인가?,정의형
19,건선이란 무엇인가?,정의형
20,백내장이란 무엇인가?,정의형
21,녹내장이란 무엇인가?,정의형
22,황반변성이란 무엇인가?,정의형
23,이석증이란 무엇인가?,정의형
24,메니에르병이란 무엇인가?,정의형
25,협심증이란 무엇인가?,정의형
26,심근경색이란 무엇인가?,정의형
27,뇌졸중이란 무엇인가?,정의형
28,폐렴이란 무엇인가?,정의형
29,천식이란 무엇인가?,정의형
30,COPD란 무엇인가?,정의형
31,신부전이란 무엇인가?,정의형
32,간경변이란 무엇인가?,정의형
33,지방간이란 무엇인가?,정의형
34,담석증이란 무엇인가?,정의형
35,요로결석이란 무엇인가?,정의형
36,전립선비대증이란 무엇인가?,정의형
37,자궁근종이란 무엇인가?,정의형
38,자궁내막증이란 무엇인가?,정의형
39,다낭성난소증후군이란 무엇인가?,정의형
40,갱년기증후군이란 무엇인가?,정의형
41,블록체인이란 무엇인가?,정의형
42,NFT란 무엇인가?,정의형
43,메타버스란 무엇인가?,정의형
44,양자컴퓨터란 무엇인가?,정의형
45,딥러닝이란 무엇인가?,정의형
46,머신러닝이란 무엇인가?,정의형
47,생성형AI란 무엇인가?,정의형
48,클라우드컴퓨팅이란 무엇인가?,정의형
49,엣지컴퓨팅이란 무엇인가?,정의형
50,IoT란 무엇인가?,정의형
51,5G란 무엇인가?,정의형
